Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
18,VAFB,Jason-3,553 kg,LEO,Cape Canaveral,Success,17 January 2016,18:42,F9 v1.1,Success
19,Cape Canaveral,SES-9,"5,271 kg",GTO,Cape Canaveral,Success,4 March 2016,23:35,F9 FT,Success
20,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,Cape Canaveral,Success,8 April 2016,20:43,F9 FT,Success
21,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Cape Canaveral,Success,6 May 2016,05:21,F9 FT,Success
22,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Cape Canaveral,Success,27 May 2016,21:39,F9 FT,Success
23,Cape Canaveral,ABS-2A,"3,600 kg",GTO,Cape Canaveral,Success,15 June 2016,14:29,F9 FT,Success
24,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,Cape Canaveral,Success,18 July 2016,04:45,F9 FT,Success
25,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,VAFB,Success,14 August 2016,05:26,F9 FT,Success
26,VAFB,Iridium NEXT,"9,600 kg",Polar,KSC,Success,14 January 2017,17:54,F9 FT,Success
27,KSC,SpaceX CRS-10,"2,490 kg",LEO,KSC,Success,19 February 2017,14:39,F9 FT,Success
28,KSC,EchoStar 23,"5,600 kg",GTO,KSC,Success,16 March 2017,06:00,F9 FT,Success
29,KSC,SES-10,"5,300 kg",GTO,KSC,Success,30 March 2017,22:27,F9 FT♺,Success
30,KSC,NROL-76,C,LEO,KSC,Success,1 May 2017,11:15,F9 FT,Success
31,KSC,Inmarsat-5 F4,"6,070 kg",GTO,KSC,Success,15 May 2017,23:21,F9 FT,Success
32,KSC,SpaceX CRS-11,"2,708 kg",LEO,KSC,Success,3 June 2017,21:07,F9 FT,Success
33,KSC,BulgariaSat-1,"3,669 kg",GTO,VAFB,Success,23 June 2017,19:10,F9 FTB1029.2,Success
34,VAFB,Iridium NEXT,"9,600 kg",LEO,KSC,Success,25 June 2017,20:25,F9 FT,Success
35,KSC,Intelsat 35e,"6,761 kg",GTO,KSC,Success,5 July 2017,23:38,F9 FT,Success
36,KSC,SpaceX CRS-12,"3,310 kg",LEO,VAFB,Success,14 August 2017,16:31,F9 B4,Success
37,VAFB,Formosat-5,475 kg,SSO,KSC,Success,24 August 2017,18:51,F9 FT,Success
38,KSC,Boeing X-37B,"4,990 kg",LEO,VAFB,Success,7 September 2017,14:00,F9 B4,Success
39,VAFB,Iridium NEXT,"9,600 kg",Polar,KSC,Success,9 October 2017,12:37,F9 B4,Success
40,KSC,SES-11,"5,200 kg",GTO,KSC,Success,11 October 2017,22:53:00,F9 FTB1031.2,Success
41,KSC,Koreasat 5A,"3,500 kg",GTO,Cape Canaveral,Success,30 October 2017,19:34,F9 B4,Success
42,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,VAFB,Success,15 December 2017,15:36,F9 FTB1035.2,Success
43,VAFB,Iridium NEXT,"9,600 kg",Polar,CCAFS,Success,23 December 2017,01:27,F9 FTB1036.2,Success
44,CCAFS,Zuma,C,LEO,CCAFS,Success,8 January 2018,01:00,F9 B4,Success
45,CCAFS,GovSat-1,"4,230 kg",GTO,VAFB,Success,31 January 2018,21:25,F9 FTB1032.2,Success
46,VAFB,Paz,"2,150 kg",SSO,CCAFS,Success,22 February 2018,14:17,F9 FTB1038.2,Success
47,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,VAFB,Success,6 March 2018,05:33,F9 B4,Success
48,VAFB,Iridium NEXT,"9,600 kg",Polar,CCAFS,Success,30 March 2018,14:14,F9 B4B1041.2,Success
49,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,CCAFS,Success,2 April 2018,20:30,F9 B4B1039.2,Success
50,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,KSC,Success,18 April 2018,22:51,F9 B4,Success
51,KSC,Bangabandhu-1,"3,600 kg",GTO,VAFB,Success,11 May 2018,20:14,F9 B5B1046.1,Success
52,VAFB,Iridium NEXT,"6,460 kg",Polar,CCAFS,Success,22 May 2018,19:47,F9 B4B1043.2,Success
53,CCAFS,SES-12,"5,384 kg",GTO,CCAFS,Success,4 June 2018,04:45,F9 B4B1040.2,Success
54,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,CCAFS,Success,29 June 2018,09:42,F9 B4B1045.2,Success
55,CCAFS,Telstar 19V,"7,075 kg",GTO,VAFB,Success,22 July 2018,05:50,F9 B5,Success
56,VAFB,Iridium NEXT,"9,600 kg",Polar,CCAFS,Success,25 July 2018,11:39,F9 B5B1048,Success
57,CCAFS,Merah Putih,"5,800 kg",GTO,CCAFS,Success,7 August 2018,05:18,F9 B5B1046.2,Success
58,CCAFS,Telstar 18V,"7,060 kg",GTO,VAFB,Success,10 September 2018,04:45,F9 B5,Success
59,VAFB,SAOCOM 1A,"3,000 kg",SSO,KSC,Success,8 October 2018,02:22,F9 B5B1048.2,Success
60,KSC,Es'hail 2,"5,300 kg",GTO,VAFB,Success,15 November 2018,20:46,F9 B5B1047.2,Success
61,VAFB,SSO-A,"~4,000 kg",SSO,CCAFS,Success,3 December 2018,18:34:05,F9 B5B1046.3,Success
62,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,CCAFS,Success,5 December 2018,18:16,F9 B5,Success
63,CCAFS,GPS III,"4,400 kg",MEO,VAFB,Success,23 December 2018,13:51,F9 B5,Success
64,VAFB,Iridium NEXT,"9,600 kg",Polar,CCAFS,Success,11 January 2019,15:31,F9 B5B1049.2,Success
65,CCAFS,Nusantara Satu,"4,850 kg",GTO,KSC,Success,22 February 2019,01:45,F9 B5B1048.3,Success
66,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,CCAFS,Success,2 March 2019,07:49,F9 B5[268],Success
67,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,CCAFS,Success,4 May 2019,06:48,F9 B5,Success
68,CCAFS,Starlink,"13,620 kg",LEO,VAFB,Success,24 May 2019,02:30,F9 B5B1049.3,Success
69,VAFB,RADARSAT Constellation,"4,200 kg",SSO,CCAFS,Success,12 June 2019,14:17,F9 B5B1051.2,Success
70,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,CCAFS,Success,25 July 2019,22:01,F9 B5B1056.2,Success
71,CCAFS,AMOS-17,"6,500 kg",GTO,CCAFS,Success,6 August 2019,23:23,F9 B5B1047.3,Success
72,CCAFS,Starlink,"15,600 kg",LEO,CCAFS,Success,11 November 2019,14:56,F9 B5,Success
73,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,CCAFS,Success,5 December 2019,17:29,F9 B5,Success
74,CCAFS,JCSat-18,"6,956 kg",GTO,CCAFS,Success,17 December 2019,00:10,F9 B5B1056.3,Success
75,CCAFS,Starlink,"15,600 kg",LEO,KSC,Success,7 January 2020,02:19:21,F9 B5,Success
76,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,CCAFS,Success,19 January 2020,15:30,F9 B5,Success
77,CCAFS,Starlink,"15,600 kg",LEO,CCAFS,Success,29 January 2020,14:07,F9 B5,Success
78,CCAFS,Starlink,"15,600 kg",LEO,CCAFS,Success,17 February 2020,15:05,F9 B5,Success
79,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,KSC,Success,7 March 2020,04:50,F9 B5,Success
80,KSC,Starlink,"15,600 kg",LEO,KSC,Success,18 March 2020,12:16,F9 B5,Success
81,KSC,Starlink,"15,600 kg",LEO,KSC,Success,22 April 2020,19:30,F9 B5,Success
82,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,CCAFS,Success,30 May 2020,19:22,F9 B5,Success
83,CCAFS,Starlink,"15,600 kg",LEO,CCAFS,Success,4 June 2020,01:25,F9 B5,Success
84,CCAFS,Starlink,"15,410 kg",LEO,CCAFS,Success,13 June 2020,09:21,F9 B5,Success
85,CCAFS,GPS III,"4,311 kg",MEO,CCAFS,Success,30 June 2020,20:10:46,F9 B5,Success
86,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,KSC,Success,20 July 2020,21:30,F9 B5B1058.2,Success
87,KSC,Starlink,"14,932 kg",LEO,CCAFS,Success,7 August 2020,05:12,F9 B5,Success
88,CCAFS,Starlink,"~15,440 kg",LEO,CCAFS,Success,18 August 2020,14:31,F9 B5B1049.6,Success
89,CCAFS,SAOCOM 1B,"3,130 kg",SSO,KSC,Success,30 August 2020,23:18,F9 B5,Success
90,KSC,Starlink,"15,600 kg",LEO,KSC,Success,3 September 2020,12:46:14,F9 B5B1060.2,Success
91,KSC,Starlink,"15,600 kg",LEO,KSC,Success,6 October 2020,11:29:34,F9 B5B1058.3,Success
92,KSC,Starlink,"15,600 kg",LEO,CCAFS,Success,18 October 2020,12:25:57,F9 B5B1051.6,Success
93,CCAFS,Starlink,"15,600 kg",LEO,CCAFS,Success,24 October 2020,15:31:34,F9 B5,Success
94,CCAFS,GPS III,"4,311 kg",MEO,KSC,Success,5 November 2020,23:24:23,F9 B5,Success
95,KSC,Crew-1,"~12,500 kg",LEO,VAFB,Success,16 November 2020,00:27,F9 B5,Success
96,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,CCAFS,Success,21 November 2020,17:17:08,F9 B5,Success
97,CCAFS,Starlink,"15,600 kg",LEO,KSC,Success,25 November 2020,02:13,F9 B5 ♺,Success
98,KSC,SpaceX CRS-21,"2,972 kg",LEO,CCSFS,Success,6 December 2020,16:17:08,F9 B5 ♺,Success
99,CCSFSSLC-40,SXM-7,"7,000 kg",GTO,KSC,Success,13 December 2020,17:30:00,F9 B5 ♺,Success
100,KSC,NROL-108,C,LEO,CCSFS,Success,19 December 2020,14:00:00,F9 B5 ♺,Success
101,CCSFS,Türksat 5A,"3,500 kg",GTO,KSC,Success,8 January 2021,02:15,F9 B5,Success
102,KSC,Starlink,"15,600 kg",LEO,CCSFS,Success,20 January 2021,13:02,F9 B5B1051.8,Success
103,CCSFS,Transporter-1,"~5,000 kg",SSO,CCSFS,Success,24 January 2021,15:00,F9 B5B1058.5,Success
104,CCSFS,Starlink,"15,600 kg",LEO,CCSFS,Success,4 February 2021,06:19,F9 B5 ♺,Success
105,CCSFS,Starlink,"15,600 kg",LEO,KSC,Success,16 February 2021,03:59:37,F9 B5 ♺,Success
106,KSC,Starlink,"15,600 kg",LEO,CCSFS,Success,4 March 2021,08:24,F9 B5 ♺,Success
107,CCSFS,Starlink,"15,600 kg",LEO,KSC,Success,11 March 2021,08:13:29,F9 B5 ♺,Success
108,KSC,Starlink,"15,600 kg",LEO,CCSFS,Success,14 March 2021,10:01,F9 B5 ♺,Success
109,CCSFS,Starlink,"15,600 kg",LEO,CCSFS,Success,24 March 2021,08:28,F9 B5B1060.6,Success
110,CCSFS,Starlink,"15,600 kg",LEO,KSC,Success,7 April 2021,16:34,F9 B5 ♺,Success
111,KSC,Crew-2,"~13,000 kg",LEO,CCSFS,Success,23 April 2021,9:49,F9 B5B1061.2,Success
112,CCSFS,Starlink,"15,600 kg",LEO,KSC,Success,29 April 2021,03:44,F9 B5B1060.7,Success
113,KSC,Starlink,"15,600 kg",LEO,CCSFS,Success,4 May 2021,19:01,F9 B5B1049.9,Success
114,CCSFS,Starlink,"15,600 kg",LEO,KSC,Success,9 May 2021,06:42,F9 B5B1051.10,Success
115,KSCLC-39A,Starlink,"~14,000 kg",LEO,CCSFS,Success,15 May 2021,22:56,F9 B5B1058.8,Success
116,CCSFSSLC-40,Starlink,"15,600 kg",LEO,KSC,Success,26 May 2021,18:59,F9 B5B1063.2,Success
117,KSC,SpaceX CRS-22,"3,328 kg",LEO,CCSFS,Success,3 June 2021,17:29,F9 B5B1067.1,Success
118,CCSFS,SXM-8,"7,000 kg",GTO,,Success,6 June 2021,04:26,F9 B5,Success
119,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""#cite_note-spaceflightnow_Clark_Launch_Report-19"">[13]</a>",Success,4 June 2010,18:45,F9 v1.0B0003.1,Success
120,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""#cite_note-BBC_new_era-23"">[17]</a>",Success,4 June 2010,18:45,F9 v1.0B0003.1,Success
121,CCAFS,Dragon,0,LEO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,8 December 2010,15:43,F9 v1.0B0004.1,Success
1,CCAFS,Dragon,525 kg,LEO,,Success,22 May 2012,07:44,F9 v1.0B0005.1,Success
1,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""#cite_note-pa20130930-36"">[30]</a>",Success,8 October 2012,00:35,F9 v1.0B0006.1,Success
2,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""#cite_note-sfn_wwls20130624-41"">[34]</a>",Success,1 March 2013,15:10,F9 v1.0B0007.1,Success
3,VAFB,CASSIOPE,500 kg,Polar orbit,"<a href=""#cite_note-NASA_Spaceflight-48"">[41]</a>",Success,29 September 2013,16:00,F9 v1.1B1003,Success
4,CCAFS,SES-8,"3,170 kg",GTO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,3 December 2013,22:41,,Success
5,CCAFS,Thaicom 6,"3,325 kg",GTO,,Success,6 January 2014,22:06,,Success
6,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,,Success,18 April 2014,19:25,,Success
7,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,,Success,14 July 2014,15:15,,Success
8,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,5 August 2014,08:00,,Success
9,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"<a href=""#cite_note-nasa20150107-74"">[67]</a>",Success,7 September 2014,05:00,F9 v1.1,Success
10,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,"<a href=""#cite_note-79"">[72]</a>",Success,21 September 2014,05:52,F9 v1.1,Success
11,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,10 January 2015,09:47,F9 v1.1,Success
12,Cape Canaveral,DSCOVR,570 kg,HEO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,11 February 2015,23:03,F9 v1.1,Success
13,Cape Canaveral,ABS-3A,"4,159 kg",GTO,"<a href=""#cite_note-patrickafb20150414-93"">[86]</a>",Success,2 March 2015,03:50,F9 v1.1,Success
14,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Failure,14 April 2015,20:10,F9 v1.1,Failure
15,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,"<a href=""#cite_note-orbcomm-og2-104"">[97]</a>",Success,27 April 2015,23:03,F9 v1.1,Success
16,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,28 June 2015,14:21,F9 v1.1,Success
17,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,22 December 2015,01:29,F9 FT,Success
18,VAFB,Jason-3,553 kg,LEO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,17 January 2016,18:42,F9 v1.1,Success
19,Cape Canaveral,SES-9,"5,271 kg",GTO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,4 March 2016,23:35,F9 FT,Success
20,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,"<a href=""#cite_note-135"">[128]</a>",Success,8 April 2016,20:43,F9 FT,Success
21,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,6 May 2016,05:21,F9 FT,Success
22,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,"<a href=""#cite_note-SFN_LLog-27"">[21]</a>",Success,27 May 2016,21:39,F9 FT,Success
23,Cape Canaveral,ABS-2A,"3,600 kg",GTO,,Success,15 June 2016,14:29,F9 FT,Success
24,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,,Success,18 July 2016,04:45,F9 FT,Success
25,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,,Success,14 August 2016,05:26,F9 FT,Success
26,VAFB,Iridium NEXT,"9,600 kg",Polar,,Success,14 January 2017,17:54,F9 FT,Success
27,KSC,SpaceX CRS-10,"2,490 kg",LEO,,Success,19 February 2017,14:39,F9 FT,Success
28,KSC,EchoStar 23,"5,600 kg",GTO,,Success,16 March 2017,06:00,F9 FT,Success
29,KSC,SES-10,"5,300 kg",GTO,,Success,30 March 2017,22:27,F9 FT♺,Success
30,KSC,NROL-76,C,LEO,,Success,1 May 2017,11:15,F9 FT,Success
31,KSC,Inmarsat-5 F4,"6,070 kg",GTO,,Success,15 May 2017,23:21,F9 FT,Success
32,KSC,SpaceX CRS-11,"2,708 kg",LEO,,Success,3 June 2017,21:07,F9 FT,Success
33,KSC,BulgariaSat-1,"3,669 kg",GTO,,Success,23 June 2017,19:10,F9 FTB1029.2,Success
34,VAFB,Iridium NEXT,"9,600 kg",LEO,,Success,25 June 2017,20:25,F9 FT,Success
35,KSC,Intelsat 35e,"6,761 kg",GTO,,Success,5 July 2017,23:38,F9 FT,Success
36,KSC,SpaceX CRS-12,"3,310 kg",LEO,"<a href=""#cite_note-223"">[215]</a>",Success,14 August 2017,16:31,F9 B4,Success
37,VAFB,Formosat-5,475 kg,SSO,,Success,24 August 2017,18:51,F9 FT,Success
38,KSC,Boeing X-37B,"4,990 kg",LEO,,Success,7 September 2017,14:00,F9 B4,Success
39,VAFB,Iridium NEXT,"9,600 kg",Polar,,Success,9 October 2017,12:37,F9 B4,Success
40,KSC,SES-11,"5,200 kg",GTO,"<a href=""#cite_note-234"">[226]</a>",Success,11 October 2017,22:53:00,F9 FTB1031.2,Success
41,KSC,Koreasat 5A,"3,500 kg",GTO,"<a href=""#cite_note-sfn_iridium4-237"">[229]</a>",Success,30 October 2017,19:34,F9 B4,Success
42,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,"<a href=""#cite_note-245"">[237]</a>",Success,15 December 2017,15:36,F9 FTB1035.2,Success
43,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""#cite_note-253"">[244]</a>",Success,23 December 2017,01:27,F9 FTB1036.2,Success
44,CCAFS,Zuma,C,LEO,"<a href=""#cite_note-276"">[267]</a>",Success,8 January 2018,01:00,F9 B4,Success
45,CCAFS,GovSat-1,"4,230 kg",GTO,"<a href=""#cite_note-:1-285"">[276]</a>",Success,31 January 2018,21:25,F9 FTB1032.2,Success
46,VAFB,Paz,"2,150 kg",SSO,"<a href=""#cite_note-294"">[285]</a>",Success,22 February 2018,14:17,F9 FTB1038.2,Success
47,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,"<a href=""#cite_note-300"">[291]</a>",Success,6 March 2018,05:33,F9 B4,Success
48,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""#cite_note-nsf20180418-312"">[303]</a>",Success,30 March 2018,14:14,F9 B4B1041.2,Success
49,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,"<a href=""#cite_note-319"">[310]</a>",Success,2 April 2018,20:30,F9 B4B1039.2,Success
50,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,"<a href=""#cite_note-330"">[321]</a>",Success,18 April 2018,22:51,F9 B4,Success
51,KSC,Bangabandhu-1,"3,600 kg",GTO,"<a href=""#cite_note-340"">[330]</a>",Success,11 May 2018,20:14,F9 B5B1046.1,Success
52,VAFB,Iridium NEXT,"6,460 kg",Polar,"<a href=""#cite_note-345"">[335]</a>",Success,22 May 2018,19:47,F9 B4B1043.2,Success
53,CCAFS,SES-12,"5,384 kg",GTO,"<a href=""#cite_note-350"">[340]</a>",Success,4 June 2018,04:45,F9 B4B1040.2,Success
54,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,"<a href=""#cite_note-358"">[348]</a>",Success,29 June 2018,09:42,F9 B4B1045.2,Success
55,CCAFS,Telstar 19V,"7,075 kg",GTO,"<a href=""#cite_note-363"">[353]</a>",Success,22 July 2018,05:50,F9 B5,Success
56,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""#cite_note-sfn-20180910-371"">[361]</a>",Success,25 July 2018,11:39,F9 B5B1048,Success
57,CCAFS,Merah Putih,"5,800 kg",GTO,"<a href=""#cite_note-nsf-20181008-373"">[363]</a>",Success,7 August 2018,05:18,F9 B5B1046.2,Success
58,CCAFS,Telstar 18V,"7,060 kg",GTO,"<a href=""#cite_note-377"">[367]</a>",Success,10 September 2018,04:45,F9 B5,Success
59,VAFB,SAOCOM 1A,"3,000 kg",SSO,,Success,8 October 2018,02:22,F9 B5B1048.2,Success
60,KSC,Es'hail 2,"5,300 kg",GTO,,Success,15 November 2018,20:46,F9 B5B1047.2,Success
61,VAFB,SSO-A,"~4,000 kg",SSO,"<a href=""#cite_note-spacenews20181223-396"">[386]</a>",Success,3 December 2018,18:34:05,F9 B5B1046.3,Success
62,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,"<a href=""#cite_note-406"">[396]</a>",Success,5 December 2018,18:16,F9 B5,Success
63,CCAFS,GPS III,"4,400 kg",MEO,"<a href=""#cite_note-408"">[398]</a>",Success,23 December 2018,13:51,F9 B5,Success
64,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""#cite_note-:7-422"">[412]</a>",Success,11 January 2019,15:31,F9 B5B1049.2,Success
65,CCAFS,Nusantara Satu,"4,850 kg",GTO,,Success,22 February 2019,01:45,F9 B5B1048.3,Success
66,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,,Success,2 March 2019,07:49,F9 B5[268],Success
67,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,,Success,4 May 2019,06:48,F9 B5,Success
68,CCAFS,Starlink,"13,620 kg",LEO,"<a href=""#cite_note-auto5-476"">[464]</a>",Success,24 May 2019,02:30,F9 B5B1049.3,Success
69,VAFB,RADARSAT Constellation,"4,200 kg",SSO,"<a href=""#cite_note-483"">[471]</a>",Success,12 June 2019,14:17,F9 B5B1051.2,Success
70,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,"<a href=""#cite_note-491"">[479]</a>",Success,25 July 2019,22:01,F9 B5B1056.2,Success
71,CCAFS,AMOS-17,"6,500 kg",GTO,"<a href=""#cite_note-493"">[481]</a>",Success,6 August 2019,23:23,F9 B5B1047.3,Success
72,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-sjcs-498"">[486]</a>",Success,11 November 2019,14:56,F9 B5,Success
73,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,"<a href=""#cite_note-504"">[492]</a>",Success,5 December 2019,17:29,F9 B5,Success
74,CCAFS,JCSat-18,"6,956 kg",GTO,"<a href=""#cite_note-506"">[494]</a>",Success,17 December 2019,00:10,F9 B5B1056.3,Success
75,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-513"">[501]</a>",Success,7 January 2020,02:19:21,F9 B5,Success
76,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,"<a href=""#cite_note-515"">[503]</a>",Success,19 January 2020,15:30,F9 B5,Success
77,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-518"">[506]</a>",Success,29 January 2020,14:07,F9 B5,Success
78,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-522"">[510]</a>",Success,17 February 2020,15:05,F9 B5,Success
79,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,"<a href=""#cite_note-526"">[514]</a>",Success,7 March 2020,04:50,F9 B5,Success
80,KSC,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-529"">[517]</a>",Success,18 March 2020,12:16,F9 B5,Success
81,KSC,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-:16-533"">[521]</a>",Success,22 April 2020,19:30,F9 B5,Success
82,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,"<a href=""#cite_note-:17-535"">[523]</a>",Success,30 May 2020,19:22,F9 B5,Success
83,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-541"">[529]</a>",Success,4 June 2020,01:25,F9 B5,Success
84,CCAFS,Starlink,"15,410 kg",LEO,"<a href=""#cite_note-SFN20200720-555"">[543]</a>",Success,13 June 2020,09:21,F9 B5,Success
85,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""#cite_note-561"">[549]</a>",Success,30 June 2020,20:10:46,F9 B5,Success
86,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,"<a href=""#cite_note-565"">[553]</a>",Success,20 July 2020,21:30,F9 B5B1058.2,Success
87,KSC,Starlink,"14,932 kg",LEO,"<a href=""#cite_note-567"">[555]</a>",Success,7 August 2020,05:12,F9 B5,Success
88,CCAFS,Starlink,"~15,440 kg",LEO,"<a href=""#cite_note-sfn-20200903-574"">[562]</a>",Success,18 August 2020,14:31,F9 B5B1049.6,Success
89,CCAFS,SAOCOM 1B,"3,130 kg",SSO,"<a href=""#cite_note-576"">[564]</a>",Success,30 August 2020,23:18,F9 B5,Success
90,KSC,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-579"">[567]</a>",Success,3 September 2020,12:46:14,F9 B5B1060.2,Success
91,KSC,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-582"">[570]</a>",Success,6 October 2020,11:29:34,F9 B5B1058.3,Success
92,KSC,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-584"">[572]</a>",Success,18 October 2020,12:25:57,F9 B5B1051.6,Success
93,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-593"">[581]</a>",Success,24 October 2020,15:31:34,F9 B5,Success
94,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""#cite_note-599"">[587]</a>",Success,5 November 2020,23:24:23,F9 B5,Success
95,KSC,Crew-1,"~12,500 kg",LEO,"<a href=""#cite_note-SFN20201122-601"">[589]</a>",Success,16 November 2020,00:27,F9 B5,Success
96,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,"<a href=""#cite_note-603"">[591]</a>",Success,21 November 2020,17:17:08,F9 B5,Success
97,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-608"">[596]</a>",Success,25 November 2020,02:13,F9 B5 ♺,Success
98,KSC,SpaceX CRS-21,"2,972 kg",LEO,"<a href=""#cite_note-SFN20201217-614"">[602]</a>",Success,6 December 2020,16:17:08,F9 B5 ♺,Success
99,CCSFSSLC-40,SXM-7,"7,000 kg",GTO,"<a href=""#cite_note-616"">[604]</a>",Success,13 December 2020,17:30:00,F9 B5 ♺,Success
100,KSC,NROL-108,C,LEO,"<a href=""#cite_note-620"">[608]</a>",Success,19 December 2020,14:00:00,F9 B5 ♺,Success
101,CCSFS,Türksat 5A,"3,500 kg",GTO,"<a href=""#cite_note-624"">[612]</a>",Success,8 January 2021,02:15,F9 B5,Success
102,KSC,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-635"">[623]</a>",Success,20 January 2021,13:02,F9 B5B1051.8,Success
103,CCSFS,Transporter-1,"~5,000 kg",SSO,"<a href=""#cite_note-638"">[626]</a>",Success,24 January 2021,15:00,F9 B5B1058.5,Success
104,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-645"">[633]</a>",Success,4 February 2021,06:19,F9 B5 ♺,Success
105,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-649"">[637]</a>",Success,16 February 2021,03:59:37,F9 B5 ♺,Success
106,KSC,Starlink,"15,600 kg",LEO,"<a href=""#cite_note-652"">[640]</a>",Success,4 March 2021,08:24,F9 B5 ♺,Success
